,Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
2237,1620846000000,2021-05-12 19:00:00,BTCUSD,54121.45,54535.98,53564.97,54482.88,150.1167625883
2236,1620849600000,2021-05-12 20:00:00,BTCUSD,54482.88,54707.37,54068.0,54497.25,59.2064135359
2235,1620853200000,2021-05-12 21:00:00,BTCUSD,54497.25,54810.11,54384.33,54598.88,33.8103451967
2234,1620856800000,2021-05-12 22:00:00,BTCUSD,54598.88,54808.03,51453.3,52804.1,1008.4531786269
2233,1620860400000,2021-05-12 23:00:00,BTCUSD,52804.1,52833.67,48350.0,49451.0,1135.9480450263
2232,1620864000000,2021-05-13 00:00:00,BTCUSD,49451.0,50743.64,45000.0,49711.5,2091.324371492
2231,1620867600000,2021-05-13 01:00:00,BTCUSD,49711.5,50620.36,49400.0,50620.35,111.3644290878
2230,1620871200000,2021-05-13 02:00:00,BTCUSD,50620.35,50925.06,49999.0,50287.35,224.7824078514
2229,1620874800000,2021-05-13 03:00:00,BTCUSD,50287.35,50513.91,49525.35,50493.11,188.1121572394
2228,1620878400000,2021-05-13 04:00:00,BTCUSD,50493.11,51357.89,50270.09,50478.82,440.8957737413
2227,1620882000000,2021-05-13 05:00:00,BTCUSD,50478.82,51103.96,50478.82,50906.37,63.8544456187
2226,1620885600000,2021-05-13 06:00:00,BTCUSD,50906.37,51389.95,50855.01,51375.72,68.3812631775
2225,1620889200000,2021-05-13 07:00:00,BTCUSD,51375.72,51387.65,50743.44,50919.48,46.8144427295
2224,1620892800000,2021-05-13 08:00:00,BTCUSD,50919.48,50982.38,49984.0,50034.91,67.6474568939
2223,1620896400000,2021-05-13 09:00:00,BTCUSD,50034.91,50377.16,48788.89,49162.53,155.1830434511
2222,1620900000000,2021-05-13 10:00:00,BTCUSD,49162.53,50253.4,48918.72,49203.0,137.0356852388
2221,1620903600000,2021-05-13 11:00:00,BTCUSD,49203.0,49925.6,48469.74,49796.3,249.4619283829
2220,1620907200000,2021-05-13 12:00:00,BTCUSD,49796.3,50379.88,49577.34,50185.72,147.4757734717
2219,1620910800000,2021-05-13 13:00:00,BTCUSD,50185.72,50624.41,49647.12,50558.08,179.3517048469
2218,1620914400000,2021-05-13 14:00:00,BTCUSD,50558.08,51009.33,50244.62,50389.84,324.4461950311
2217,1620918000000,2021-05-13 15:00:00,BTCUSD,50389.84,50466.1,49500.02,49652.15,135.8569591064
2216,1620921600000,2021-05-13 16:00:00,BTCUSD,49652.15,50446.08,48519.08,48682.86,249.2325852109
2215,1620925200000,2021-05-13 17:00:00,BTCUSD,48682.86,48864.53,46962.39,48435.05,742.5446019921
2214,1620928800000,2021-05-13 18:00:00,BTCUSD,48435.05,48953.96,47682.92,47830.0,514.4766440848
2213,1620932400000,2021-05-13 19:00:00,BTCUSD,47830.0,49340.91,47830.0,48534.54,228.0641656359
2212,1620936000000,2021-05-13 20:00:00,BTCUSD,48534.54,49451.33,48360.31,49328.46,83.6617866645
2211,1620939600000,2021-05-13 21:00:00,BTCUSD,49328.46,49884.23,49026.34,49595.0,63.4203385867
2210,1620943200000,2021-05-13 22:00:00,BTCUSD,49595.0,49889.97,48888.88,48888.88,105.3702804391
2209,1620946800000,2021-05-13 23:00:00,BTCUSD,48888.88,49774.92,48400.0,49680.22,80.7317184142
2208,1620950400000,2021-05-14 00:00:00,BTCUSD,49680.22,50267.64,49491.74,50052.95,59.4761163424
2207,1620954000000,2021-05-14 01:00:00,BTCUSD,50052.95,50428.82,49912.65,50097.04,43.5671831876
2206,1620957600000,2021-05-14 02:00:00,BTCUSD,50097.04,50132.64,49450.09,49506.64,41.0966104853
2205,1620961200000,2021-05-14 03:00:00,BTCUSD,49506.64,49722.44,49100.0,49221.07,31.5436254074
2204,1620964800000,2021-05-14 04:00:00,BTCUSD,49221.07,49586.9,48894.79,49186.16,147.9854784439
2203,1620968400000,2021-05-14 05:00:00,BTCUSD,49186.16,49764.0,49092.0,49722.27,16.8033977301
2202,1620972000000,2021-05-14 06:00:00,BTCUSD,49722.27,49759.43,48932.74,49120.45,27.8570115027
2201,1620975600000,2021-05-14 07:00:00,BTCUSD,49120.45,50311.36,49096.71,50013.18,36.2194644813
2200,1620979200000,2021-05-14 08:00:00,BTCUSD,50013.18,50454.53,49971.96,50420.11,18.5300131332
2199,1620982800000,2021-05-14 09:00:00,BTCUSD,50420.11,50879.5,50250.51,50522.21,37.4815084173
2198,1620986400000,2021-05-14 10:00:00,BTCUSD,50522.21,50845.46,50310.36,50800.35,34.7882095053
2197,1620990000000,2021-05-14 11:00:00,BTCUSD,50800.35,51029.71,50579.78,50628.64,30.6989585374
2196,1620993600000,2021-05-14 12:00:00,BTCUSD,50628.64,50714.37,50331.47,50410.67,36.4843386226
2195,1620997200000,2021-05-14 13:00:00,BTCUSD,50410.67,51102.51,50148.0,51020.84,82.8449709031
2194,1621000800000,2021-05-14 14:00:00,BTCUSD,51020.84,51048.42,50576.99,50956.55,163.1641722891
2193,1621004400000,2021-05-14 15:00:00,BTCUSD,50956.55,51575.16,50788.3,51316.66,263.1395463179
2192,1621008000000,2021-05-14 16:00:00,BTCUSD,51316.66,51409.19,50750.0,50905.78,128.2741785201
2191,1621011600000,2021-05-14 17:00:00,BTCUSD,50905.78,51150.0,50634.89,50655.76,152.1711641994
2190,1621015200000,2021-05-14 18:00:00,BTCUSD,50655.76,50769.32,50405.81,50523.89,102.5807037042
2189,1621018800000,2021-05-14 19:00:00,BTCUSD,50523.89,50540.83,50162.78,50197.15,73.1634726192
2188,1621022400000,2021-05-14 20:00:00,BTCUSD,50197.15,50356.06,49129.72,49198.02,160.2851051501
2187,1621026000000,2021-05-14 21:00:00,BTCUSD,49198.02,49895.54,49084.88,49862.99,66.521700068
2186,1621029600000,2021-05-14 22:00:00,BTCUSD,49862.99,50197.01,49687.4,49989.76,39.3089965594
2185,1621033200000,2021-05-14 23:00:00,BTCUSD,49989.76,50217.95,49699.99,49887.23,46.3486726212
2184,1621036800000,2021-05-15 00:00:00,BTCUSD,49887.23,50312.38,49249.99,49477.78,123.3571760865
2183,1621040400000,2021-05-15 01:00:00,BTCUSD,49477.78,50717.55,49175.31,50707.22,152.6733686432
2182,1621044000000,2021-05-15 02:00:00,BTCUSD,50707.22,50707.22,50074.97,50111.84,33.3046110632
2181,1621047600000,2021-05-15 03:00:00,BTCUSD,50111.84,50130.48,49632.39,49670.85,27.3284030849
2180,1621051200000,2021-05-15 04:00:00,BTCUSD,49670.85,49900.0,49214.06,49411.11,28.2907816757
2179,1621054800000,2021-05-15 05:00:00,BTCUSD,49411.11,49757.96,49181.64,49727.05,36.8424112074
2178,1621058400000,2021-05-15 06:00:00,BTCUSD,49727.05,49728.27,48713.38,49028.25,59.9437265029
2177,1621062000000,2021-05-15 07:00:00,BTCUSD,49028.25,49078.6,48443.36,48550.64,66.6149032663
2176,1621065600000,2021-05-15 08:00:00,BTCUSD,48550.64,49061.16,48283.46,48896.96,70.3827601228
2175,1621069200000,2021-05-15 09:00:00,BTCUSD,48896.96,49293.22,48378.02,48669.85,35.5703533514
2174,1621072800000,2021-05-15 10:00:00,BTCUSD,48669.85,48669.85,47836.51,48431.71,138.0529392069
2173,1621076400000,2021-05-15 11:00:00,BTCUSD,48431.71,49048.63,48412.67,48987.79,58.776006041
2172,1621080000000,2021-05-15 12:00:00,BTCUSD,48987.79,49359.4,48711.78,49210.81,69.8632444858
2171,1621083600000,2021-05-15 13:00:00,BTCUSD,49210.81,49375.57,48795.27,49049.65,62.2631420274
2170,1621087200000,2021-05-15 14:00:00,BTCUSD,49049.65,49609.81,48868.37,49451.56,61.8490569206
2169,1621090800000,2021-05-15 15:00:00,BTCUSD,49451.56,49626.61,48850.0,49018.42,51.2279971227
2168,1621094400000,2021-05-15 16:00:00,BTCUSD,49018.42,49041.17,47592.97,47932.23,104.7591054567
2167,1621098000000,2021-05-15 17:00:00,BTCUSD,47932.23,48249.09,47500.0,47853.99,87.1317626625
2166,1621101600000,2021-05-15 18:00:00,BTCUSD,47853.99,48250.0,47548.88,47927.29,107.811590761
2165,1621105200000,2021-05-15 19:00:00,BTCUSD,47927.29,48138.03,46940.0,48138.03,179.7933684169
2164,1621108800000,2021-05-15 20:00:00,BTCUSD,48138.03,48626.14,48092.43,48263.21,52.4288752927
2163,1621112400000,2021-05-15 21:00:00,BTCUSD,48263.21,48752.18,48256.51,48465.62,23.9498258289
2162,1621116000000,2021-05-15 22:00:00,BTCUSD,48465.62,48718.9,47769.03,48003.2,50.1327713016
2161,1621119600000,2021-05-15 23:00:00,BTCUSD,48003.2,48029.06,46582.0,46770.13,252.9327252825
2160,1621123200000,2021-05-16 00:00:00,BTCUSD,46770.13,47709.08,46500.0,47282.9,216.1726416007
2159,1621126800000,2021-05-16 01:00:00,BTCUSD,47282.9,48200.0,47282.9,48058.95,52.4297902897
2158,1621130400000,2021-05-16 02:00:00,BTCUSD,48058.95,48308.47,47974.61,48161.2,32.6858709636
2157,1621134000000,2021-05-16 03:00:00,BTCUSD,48161.2,48383.6,47776.88,48383.6,38.3584523619
2156,1621137600000,2021-05-16 04:00:00,BTCUSD,48383.6,48814.29,48071.92,48129.21,47.6301714779
2155,1621141200000,2021-05-16 05:00:00,BTCUSD,48129.21,48350.62,48066.71,48177.12,9.1395258712
2154,1621144800000,2021-05-16 06:00:00,BTCUSD,48177.12,49493.77,48142.02,49068.39,36.6800662088
2153,1621148400000,2021-05-16 07:00:00,BTCUSD,49068.39,49355.34,48853.24,49355.34,10.3880798295
2152,1621152000000,2021-05-16 08:00:00,BTCUSD,49355.34,49398.25,48680.15,48900.0,9.3502287406
2151,1621155600000,2021-05-16 09:00:00,BTCUSD,48900.0,49701.64,48900.0,49264.43,38.1727426406
2150,1621159200000,2021-05-16 10:00:00,BTCUSD,49264.43,49790.0,49215.0,49564.69,9.1700861205
2149,1621162800000,2021-05-16 11:00:00,BTCUSD,49564.69,49625.71,48957.82,49056.07,68.2583808332
2148,1621166400000,2021-05-16 12:00:00,BTCUSD,49056.07,49194.79,48587.99,48657.35,16.4446451899
2147,1621170000000,2021-05-16 13:00:00,BTCUSD,48657.35,49028.75,48450.43,48957.88,63.5078160428
2146,1621173600000,2021-05-16 14:00:00,BTCUSD,48957.88,49247.51,48088.18,48339.0,49.7307234314
2145,1621177200000,2021-05-16 15:00:00,BTCUSD,48339.0,48351.19,47695.27,47750.39,24.1073565697
2144,1621180800000,2021-05-16 16:00:00,BTCUSD,47750.39,48114.0,47012.77,47311.45,131.974031059
2143,1621184400000,2021-05-16 17:00:00,BTCUSD,47311.45,47418.46,46200.0,47140.65,284.6953862057
2142,1621188000000,2021-05-16 18:00:00,BTCUSD,47140.65,47422.5,45403.0,45482.43,306.1807080614
2141,1621191600000,2021-05-16 19:00:00,BTCUSD,45482.43,46201.72,44398.53,45540.24,407.9012194218
2140,1621195200000,2021-05-16 20:00:00,BTCUSD,45540.24,45863.91,43700.0,44074.91,414.2429971146
2139,1621198800000,2021-05-16 21:00:00,BTCUSD,44074.91,45602.83,43875.23,45180.44,273.0693127449
